custId,amount,total
C1010175,100.00,1
C1010224,835.50,1
C1010412,433.00,1
C1010424,275.00,1
C1010450,633.33,1
C1010660,2000.00,1
C1010828,63.00,1
C1011333,120.00,1
C1012070,288.00,1
C1012219,200.00,1
C1012328,100.00,1
C1012561,2440.00,1
C1012636,395.00,1
C1012691,30.00,1
C1012764,195.00,1
C1012922,20.00,1
C1013043,80.00,1
C1013143,1000.00,1
C1013164,500.00,1
C1013173,92.00,1
C1013175,700.00,1
C1013241,200.00,1
C1013473,105.00,1
C1013592,979.00,1
C1013616,1206.00,1
C1013737,1844.00,1
C1013746,377.00,1
C1013923,150.00,1
C1013977,154.00,1
C1014045,755.00,1
C1014139,500.00,1
C1014283,465.00,1
C1014428,47.00,1
C1014460,2200.00,1
C1014485,110.00,1
C1014513,450.00,1
C1014816,211.20,1
C1014849,3892.72,1
C1014885,3295.00,1
C1014932,230.00,1
C1014985,3021.00,1
C1015624,217.52,1
C1015659,100.00,1
C1015664,150.00,1
C1015825,1.00,1
C1015844,4140.00,1
C1016361,901.00,1
C1016460,10000.00,1
C1016664,250.00,1
C1016740,200.00,1
C1016828,16.00,1
C1016865,100.00,1
C1016888,50.00,1
C1017042,550.00,1
C1017113,50.00,1
C1017233,1528.00,1
C1017259,3314.00,1
C1017357,1003.00,1
C1017459,39.00,1
C1017523,660.87,1
C1017590,50.00,1
C1017652,492.00,1
C1017660,625.00,1
C1017683,6149.00,1
C1017684,2860.00,1
C1017729,464.00,1
C1017755,200.00,1
C1017859,53.00,1
C1018040,69.00,1
C1018073,780.00,1
C1018385,430.00,1
C1018529,29077.96,1
C1018554,1169.00,1
C1018572,121.00,1
C1018644,279.00,1
C1018654,100.00,1
C1018918,1370.60,1
C1018943,1265.00,1
C1019222,2862.00,1
C1019233,250.00,1
C1019282,3942.00,1
C1019326,1000.00,1
C1019422,10.00,1
C1019564,663.00,1
C1019565,67.00,1
C1019741,45.00,1
C1020236,200.00,1
C1020261,750.00,1
C1020319,2021.86,1
C1020357,120.00,1
C1020644,10.00,1
C1020712,240.00,1
C1021276,950.00,1
C1021786,2738.00,1
C1021815,417.50,1
C1022184,500.00,1
C1022329,20.00,1
C1022450,1154.00,1
C1022524,150.00,1
C1022529,578.00,1
C1022633,1308.00,1
C1022675,1080.00,1
C1022678,100.00,1
C1022743,349.00,1
C1023154,5.00,1
C1023326,200.00,1
C1023554,280.00,1
C1023659,600.00,1
C1023832,1000.00,1
C1023840,460.00,1
C1023847,686.00,1
C1023852,999.00,1
C1024074,332.00,1
C1024463,210.00,1
C1024474,600.00,1
C1024555,490.00,1
C1024641,168.00,1
C1024678,260.00,1
C1024687,3000.00,1
C1025175,50.00,1
C1025514,50.00,1
C1025577,678.00,1
C1025986,250.00,1
C1026037,660.00,1
C1026038,385.00,1
C1026281,1250.00,1
C1026683,20.00,1
C1026959,970.00,1
C1027032,3480.00,1
C1027040,105.20,1
C1027087,1800.00,1
C1027668,1175.00,1
C1027791,2975.00,1
C1027841,399.00,1
C1028211,99.00,1
C1028265,400.00,1
C1028483,850.00,1
C1028612,200.00,1
C1028632,320.00,1
C1028665,455.00,1
C1028788,400.00,1
C1028879,639.00,1
C1029047,500.00,1
C1029269,48.00,1
C1029342,371.00,1
C1029589,3200.00,1
C1029751,380.00,1
C1029868,1008.06,1
C1029933,20.00,1
C1030121,933.00,1
C1030280,30000.00,1
C1030516,398.00,1
C1030531,100.00,1
C1030588,200.00,1
C1031049,20.00,1
C1031131,300.00,1
C1031267,308.49,1
C1031469,130.00,1
C1031483,58.00,1
C1031532,159.00,1
C1031689,3201.00,1
C1032080,2200.00,1
C1032490,1000.00,1
C1032525,149.51,1
C1032545,1590.00,1
C1032547,96.00,1
C1032788,4420.00,1
C1032872,145.00,1
C1033153,900.00,1
C1033534,300.00,1
C1033548,130.00,1
C1033662,3570.00,1
C1033880,50.00,1
C1033914,58.03,1
C1034470,1188.60,1
C1034760,1280.00,1
C1035027,1.00,1
C1035085,282.00,1
C1035127,152.00,1
C1035428,105.00,1
C1035440,538.00,1
C1035539,50.00,1
C1035636,400.00,1
C1035684,1087.00,1
C1036092,836.00,1
C1036183,457.00,1
C1036191,217.45,1
C1036342,426.00,1
C1036360,47.00,1
C1036438,50.00,1
C1036588,30.00,1
C1036784,2115.89,1
C1036879,278.00,1
C1037047,200.00,1
C1037086,30.00,1
C1037169,1200.00,1
C1037183,132.00,1
C1037189,299.00,1
C1037313,268.00,1
C1037584,3200.00,1
C1037654,1500.00,1
C1037738,150.00,1
C1037765,16.00,1
C1038115,300.00,1
C1038259,352.00,1
C1038275,1500.00,1
C1038336,549.00,1
C1038454,60.00,1
C1038585,570.00,1
C1038630,237.00,1
C1038750,700.00,1
C1038814,42.22,1
C1038819,900.00,1
C1038917,200.00,1
C1038975,349.00,1
C1038978,1398.00,1
C1039091,251.00,1
C1039158,50.00,1
C1039219,2643.86,1
C1039239,50.00,1
C1039380,794.00,1
C1039391,1525.35,1
C1039543,800.00,1
C1039587,100.00,1
C1039754,27.46,1
C1040236,288.00,1
C1040274,500.00,1
C1040434,2500.00,1
C1040912,470.00,1
C1041025,96.00,1
C1041232,222.00,1
C1041318,719.00,1
C1041548,250.00,1
C1041846,200.00,1
C1042042,50.00,1
C1042560,60.00,1
C1042624,200.00,1
C1042860,100.00,1
C1042868,500.00,1
C1042887,300.00,1
C1043269,680.00,1
C1044569,4155.00,1
C1046636,3428.61,1
C1048065,379.00,1
C1048548,100.00,1
C1050440,50.00,1
C1050624,225.00,1
C1051451,6451.00,1
C1056765,450.00,1
C1058070,353.61,1
C1058255,195.00,1
C1058482,1069.00,1
C1059328,275.00,1
C1059724,798.00,1
C1062034,2450.00,1
C1062283,200.00,1
C1063075,50.00,1
C1064644,1303.00,1
C1064729,7941.00,1
C1066240,5000.00,1
C1066875,130.00,1
C1067678,50.00,1
C1069657,341.04,1
C1071484,251.00,1
C1071779,310.59,1
C1075022,1000.00,1
C1078316,43.00,1
C1080184,3600.00,2
C1081919,200.00,1
C1082220,160.00,1
C1085065,822.00,1
C1085080,250.00,1
C1087252,100.00,1
C1087891,440.00,1
C1087923,500.00,1
C1088466,587.50,1
C1089339,224.00,1
C1090230,297.00,1
C1090886,100.00,1
C1092965,627.00,1
C1094211,300.00,1
C1094986,329.70,1
C1096214,70.00,1
C1097554,1000.00,1
C1098119,2200.00,1
C1099471,4000.00,1
C1110143,2000.00,1
C1110230,494.00,1
C1110340,1144.65,1
C1110350,3420.00,1
C1110413,292.00,1
C1110484,1200.00,1
C1110530,50.00,1
C1110628,580.00,1
C1110763,100.00,1
C1110852,1572.40,1
C1110958,150.00,1
C1111074,30.00,1
C1111077,4005.00,1
C1111192,251.87,1
C1111258,147.00,1
C1111511,92.00,1
C1111551,3960.00,1
C1111569,500.00,1
C1111580,199.00,1
C1111584,199.00,1
C1111669,100.00,1
C1112360,19.00,1
C1112426,1.00,1
C1112439,60.00,1
C1112441,523.00,1
C1112573,350.00,1
C1112774,2170.00,2
C1112940,1512.75,1
C1113132,10.00,1
C1113166,857.00,1
C1113230,3799.00,1
C1113366,310.00,1
C1113530,55.00,1
C1113576,147.00,1
C1113653,435.71,1
C1113682,100.00,1
C1113856,159.00,1
C1113991,1199.00,1
C1114028,1685.00,1
C1114049,20.00,1
C1114248,155.00,1
C1114362,189.00,1
C1114539,25.00,1
C1114844,1000.00,1
C1115765,641.00,1
C1115859,30.00,1
C1115940,556.00,1
C1116012,1300.00,1
C1116367,600.00,1
C1116590,394.00,1
C1116623,37430.45,1
C1116875,891.00,1
C1116884,160.00,1
C1117135,330.00,1
C1117138,254.00,1
C1117232,19228.00,1
C1117358,399.00,1
C1117421,749.00,1
C1117441,1250.00,1
C1117561,2500.00,1
C1117618,571.95,1
C1117662,999.00,1
C1117729,2190.00,1
C1117816,50.00,1
C1117821,250.00,1
C1117930,226.00,1
C1117962,1709.00,1
C1118144,300.00,1
C1118176,867.00,1
C1118526,594.00,1
C1118612,5000.00,1
C1118659,418.00,1
C1118740,50000.00,1
C1118773,250.00,1
C1118818,787.00,1
C1118926,1500.00,1
C1119249,1200.00,1
C1119348,299.00,1
C1119488,500.00,1
C1119511,4650.00,1
C1119638,202.27,1
C1119646,1352.32,1
C1119743,596.00,1
C1119792,60.00,1
C1119866,225.00,1
C1120080,3709.80,1
C1120329,100.00,1
C1120591,199.00,1
C1120679,400.00,1
C1120975,818.00,1
C1121089,652.08,1
C1121464,2397.00,1
C1121466,25.00,1
C1121548,2424.00,1
C1121946,200.00,1
C1121971,1108.39,1
C1122028,334.50,1
C1122039,6761.03,1
C1122360,2500.00,1
C1122374,500.00,1
C1123086,4797.00,1
C1123152,449.00,1
C1123358,105.62,1
C1123615,10000.00,1
C1123688,2053.00,1
C1124265,345.00,1
C1124420,110.00,1
C1124518,1954.86,1
C1124523,1098.00,1
C1124851,616.00,1
C1125070,700.00,1
C1125263,1790.00,1
C1125459,600.90,1
C1125479,46.00,1
C1125512,2995.02,1
C1125763,3040.00,1
C1125968,149.00,1
C1126035,969.00,1
C1126257,853.60,1
C1126281,4200.00,1
C1126354,30.00,1
C1126589,3851.00,1
C1126634,1250.00,1
C1126962,2597.00,1
C1127090,15.00,1
C1127312,4050.00,1
C1127332,100.00,1
C1127372,1900.00,1
C1127521,10060.11,1
C1127633,669.00,1
C1128055,312.00,1
C1128151,1000.00,1
C1128490,2.01,1
C1128513,2789.00,1
C1128755,25.00,1
C1128778,30.00,1
C1128866,482.00,1
C1129275,160.00,1
C1129318,240.00,1
C1129383,11446.00,1
C1129419,694.46,1
C1129674,222.00,1
C1129684,480.00,1
C1129725,360.00,1
C1129732,245.00,1
C1130056,7000.00,1
C1130125,100.00,1
C1130184,7413.00,1
